alpha = 0.1300
gamma = 60.0000
prob.endemic = 0.2000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 769474061
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.5984	0.0000	12.7403	0.9441	0.9999	0.4947
0.5072	1.2358	17.6909	0.9859	0.9999	0.4815
0.4882	2.5238	18.4352	0.9919	0.9999	0.4732
0.4719	3.8426	18.5972	0.9965	0.9999	0.4656
0.4749	5.1564	17.7548	0.9969	0.9999	0.4694
0.4728	6.4684	17.6148	0.9982	0.9999	0.4697
0.4635	7.8064	17.7395	0.9988	0.9999	0.4615
0.4658	9.1564	17.1244	0.9988	0.9999	0.4639
0.4677	10.5114	16.4919	0.9992	0.9999	0.4663
0.4580	11.8478	16.7026	0.9996	0.9999	0.4574
0.4644	13.2172	15.7610	0.9998	0.0000	0.4644
0.4555	14.5856	16.0042	0.9998	0.9999	0.4553
0.4569	15.9472	15.1177	0.9997	0.9999	0.4563
0.4550	17.2988	14.9879	0.9997	0.9999	0.4549
0.4534	18.6798	14.5398	0.9998	0.9999	0.4533
0.4526	20.0410	14.1986	0.9996	0.9999	0.4522
0.4507	21.4262	13.3839	0.9999	0.0000	0.4507
0.4462	22.8236	13.5042	0.9999	0.0000	0.4462
0.4439	24.2316	12.8820	0.9998	0.0000	0.4439
0.4439	25.6350	12.2702	0.9999	0.0000	0.4439
0.4386	27.0432	12.1408	0.9998	0.9999	0.4385
0.4392	28.4778	11.6098	0.9998	0.0000	0.4392
0.4439	29.8748	10.8530	0.9999	0.0000	0.4439
0.4354	31.3220	10.6214	0.9997	0.0000	0.4354
0.4326	32.7760	10.1123	0.9997	0.0000	0.4326
0.4340	34.2238	9.6349	0.9997	0.0000	0.4340
0.4265	35.6908	9.1865	0.9997	0.0000	0.4265
0.4321	37.1712	8.3486	0.9997	0.0000	0.4321
0.4170	38.6620	8.4349	0.9995	0.0000	0.4170
0.4108	40.1790	7.9633	0.9996	0.0000	0.4108
0.4115	41.6910	7.3194	0.9995	0.0000	0.4115
0.4072	43.2156	6.6759	0.9994	0.0000	0.4072
0.3935	44.7786	6.5292	0.9993	0.0000	0.3935
0.3890	46.3692	5.8693	0.9988	0.0000	0.3890
0.3810	48.0144	5.2773	0.9983	0.0000	0.3810
0.3657	49.6862	4.7522	0.9975	0.0000	0.3657
0.3517	51.4460	4.1164	0.9960	0.0000	0.3517
0.3279	53.2632	3.4817	0.9910	0.0000	0.3279
0.2986	55.2416	2.7498	0.9741	0.0000	0.2986
0.2357	57.5642	1.7856	0.9046	0.0000	0.2357
